Train_Size,RBF_mean,RBF_std,Q Fixed_mean,Q Fixed_std,Q Learned_mean,Q Learned_std,NNGP_mean,NNGP_mean,VQE based_mean,VQE based_mean
5,12057.38291,15934.36132,14628.62708,11681.79698,6031.61717,7624.944716,15587.77734,16241.52284,7598.455707,7648.191471
10,3995.630698,4262.50701,11106.95642,10976.97225,4179.021206,5131.21797,6654.207653,6614.222831,10424.39751,11936.33705
15,1747.901696,1009.321998,8977.604191,8194.006357,1400.005011,859.4860394,3804.30328,3641.11909,3410.55674,5210.299053
20,1216.733717,202.4908743,5997.851318,3650.171813,974.5340391,189.8625743,3818.25252,3992.016336,2580.581249,2196.801175
25,1066.656151,227.8454257,1540.510693,443.4664227,908.963601,116.5400889,2490.311619,2080.175826,906.6775741,284.3101036
30,1137.562413,145.3635711,2972.675686,2084.558974,953.0507356,149.1670861,2927.790662,2247.714804,909.6919262,568.554295
50,1300.786353,827.3083686,2324.759093,1048.703506,963.0614814,161.600656,1461.234339,658.3253931,667.7557425,143.1715449
100,898.082804,151.6855279,1508.725506,447.6608078,890.3421795,100.0057622,1003.224537,192.3376414,562.7887013,121.6684153
300,756.2186248,214.3005524,1405.553679,485.8171421,828.2067996,124.7675665,855.9892248,214.3733988,477.3406795,42.89519302
500,862.2213216,71.52286684,1285.632986,297.4593272,831.1942739,95.71610663,929.9003056,126.3400137,463.1150009,37.50861929
1000,761.065721,240.2364978,1366.366303,558.5071258,831.0777787,108.7855254,859.5355626,267.8916087,450.5833155,41.63205878
5000,832.399593,103.1326078,1136.755704,69.65563232,825.6726265,111.3186224,873.9719545,95.60990704,333.1547717,64.64020479
